Event	ID	Name			Wwise Object Path	Notes
	332169852	Intimidation			\Music\Intimidation	
	733168346	Game_Start			\Music\Game_Start	
	860659345	Out_of_Menu			\Music\Out_of_Menu	
	886789088	Damage_Buff_OFF			\Music\Damage_Buff_OFF	
	1182958561	Cutscene			\Music\Cutscene	
	1562068129	Overworld			\Music\Overworld	
	1631528850	In_Menu			\Music\In_Menu	
	2201105581	Credits			\Music\Credits	
	2225353962	Energy_Drink_ON			\Music\Energy_Drink_ON	
	2369474171	XP_Boost_OFF			\Music\XP_Boost_OFF	
	2521525023	Title_Theme			\Music\Title_Theme	
	2716678721	Victory			\Music\Victory	
	2791675679	Defeated			\Music\Defeated	
	2813898782	Battles			\Music\Battles	
	2961129376	Energy_Drink_OFF			\Music\Energy_Drink_OFF	
	3278048498	Lifesparer_ON			\Music\Lifesparer_ON	
	3730046855	XP_Boost_ON			\Music\XP_Boost_ON	
	3869452842	Damage_Buff_ON			\Music\Damage_Buff_ON	
	3920142940	Timer			\Music\Timer	
	3967959712	Game_Finished			\Music\Game_Finished	
	4256397380	Persuasion			\Music\Persuasion	

Switch Group	ID	Name			Wwise Object Path	Notes
	2137943	Life			\Default Work Unit\Life	

Switch	ID	Name	Switch Group			Notes
	655265632	Alive	Life			
	2791675679	Defeated	Life			

State Group	ID	Name			Wwise Object Path	Notes
	3826569560	Music_State			\Music\Music_State	
	3941853002	Menu_State			\Music\Menu_State	

State	ID	Name	State Group			Notes
	748895195	None	Music_State			
	1182958561	Cutscene	Music_State			
	1562068129	Overworld	Music_State			
	2201105581	Credits	Music_State			
	2521525023	Title_Theme	Music_State			
	2716678721	Victory	Music_State			
	2813898782	Battles	Music_State			
	748895195	None	Menu_State			
	860659345	Out_of_Menu	Menu_State			
	1631528850	In_Menu	Menu_State			

Game Parameter	ID	Name			Wwise Object Path	Notes
	3920142940	Timer			\Default Work Unit\Timer	

Trigger	ID	Name			Wwise Object Path	Notes
	332169852	Intimidation			\Default Work Unit\Intimidation	
	886789088	Damage_Buff_OFF			\Default Work Unit\Damage_Buff_OFF	
	2225353962	Energy_Drink_ON			\Default Work Unit\Energy_Drink_ON	
	2369474171	XP_Boost_OFF			\Default Work Unit\XP_Boost_OFF	
	2961129376	Energy_Drink_OFF			\Default Work Unit\Energy_Drink_OFF	
	3278048498	Lifesparer_ON			\Default Work Unit\Lifesparer_ON	
	3730046855	XP_Boost_ON			\Default Work Unit\XP_Boost_ON	
	3869452842	Damage_Buff_ON			\Default Work Unit\Damage_Buff_ON	
	4256397380	Persuasion			\Default Work Unit\Persuasion	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	2326452	Cutscene_Flute1	Y:\Documents\WwiseProjects\Work Yourself to Death_updated\.cache\B4\{B4162674-23E0-E389-EC87-CDE514A835A9}.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Game_Music\Cutscene\Cutscene\Cutscene_Flute1		3840096
	7780513	Overworld_Flute1B	Y:\Documents\WwiseProjects\Work Yourself to Death_updated\.cache\4A\{4A7DEDAE-F9E5-07D2-6DF2-B7317717CE72}.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Game_Music\Credits\OverworldB_Credits\Overworld_Flute1B		3072096
	21141433	Overworld_Vibraphone1A	Y:\Documents\WwiseProjects\Work Yourself to Death_updated\.cache\5C\{5CC0132D-1F48-A496-C728-EF3C59436300}.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Game_Music\Credits\OverworldA_Credits\Overworld_Vibraphone1A		3072096
	32060743	Overworld_Flute1A	Y:\Documents\WwiseProjects\Work Yourself to Death_updated\.cache\D3\{D3FAA268-3466-3E62-2658-3B19FF0117E9}.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Game_Music\Credits\OverworldA_Credits\Overworld_Flute1A		3072096
	35331834	Defeated_Defeated_ClarinetC_60bpm4-4_L8_P0	Y:\Documents\WwiseProjects\Work Yourself to Death_updated\.cache\0D\{0DA426FA-7C15-6B34-971A-4F8AB5A7EA43}.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Game_Music\Defeated\DefeatedC\Defeated_Defeated_ClarinetC_60bpm4-4_L8_P0		6144096
	62080164	Overworld_Vibraphone1B	Y:\Documents\WwiseProjects\Work Yourself to Death_updated\.cache\2A\{2ADEAF78-1302-4865-FE10-3B3EE905C822}.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Game_Music\Credits\OverworldB_Credits\Overworld_Vibraphone1B		3072096
	63635261	Battles_Level1Enemy_Piano1_80bpm4-4_L8_P0	Y:\Documents\WwiseProjects\Work Yourself to Death_updated\.cache\8D\{8D4B3D7D-C027-D992-CB17-1D4F7397D4CF}.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Game_Music\Battles\Battles\Battles_Level1Enemy_Piano1_80bpm4-4_L8_P0		9216096
	69866192	Vibraphone High Intro	Y:\Documents\WwiseProjects\Work Yourself to Death_updated\.cache\A6\{A61A718E-C049-CAF0-5ED5-9F88AAD51655}.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Game_Music\Cutscene\Cutscene_Intro\Vibraphone High Intro		3840096
	72286419	Battles_Level1Enemy_Piano1_80bpm4-4_L8_P0	Y:\Documents\WwiseProjects\Work Yourself to Death_updated\.cache\3C\{3C729E21-32BA-4CF3-15B2-40F2E0527411}.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Game_Music\Battles\Battles\Battles_Level1Enemy_Piano1_80bpm4-4_L8_P0		9216096
	78505196	Defeated_Defeated_BassC_60bpm4-4_L8_P0	Y:\Documents\WwiseProjects\Work Yourself to Death_updated\.cache\43\{43BDE458-C4B5-68CB-7DDD-C862D3DB8C61}.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Game_Music\Defeated\DefeatedC\Defeated_Defeated_BassC_60bpm4-4_L8_P0		6144096
